"","Shruti_Cod","Catalog_Nu","Species","Year","County","Institutio","SVL","Lifestage","Zswab_scor","Bioregion","Decimal_La","Decimal_Lo","Decade","Elevation","Disease_St","Coordinate","Collector","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","Built2009","crop2005","Lights2009","NavWat2009","Pastur2009","Popden2009","Railways","Roads","HFP2009","HFP2009_in","amph_rich","lakepond","swampmarsh","IceMass","Playa","streamperr","streaminte","coastline","artificial","pipeline","canalditch","connector","elev_m","ai_yr","pet_yr","aet_yr","crops_2","built_2","pasture_2","popdens_2","navwater_2","lights_2","hfp_2","rail_2","roads_2","dist.closest.wb","cat.closest.wb"
"18",441,839,"Taricha granulosa",1894,"Napa","CAS",65.89,"Aquatic",0,"Central Coast",38.578889,-122.578611,1890,108,0,0,"C.H. Gilbert",147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0,0,6,8,8,40,40,15,1756.04,45939.4,268070,135625,172.698,834.32,47988.3,4735.27,51044.3,17044.3,12908.1,108,6805,1371,621,0,10,0,6,0,8,40,8,8,172.698,"streamperr"
"19",543,832,"Taricha torosa",1894,"Napa","CAS",59.12,"Terrestrial",0,"Central Coast",38.669397,-122.632178,1890,1306.4,0,2023,"C.H. Gilbert",106,129,47,5084,271,0,271,59,173,176,53,1242,241,3,85,647,19,31,605,0,0,0,0,0,3,0,0.852498,3.8525,3,15,3353.94,56937.8,257516,127704,1065.76,331.73,49635,3353.94,61905.6,20269,19415.9,1304,11171,1101,606,0,0,0,3,0,0,3.8525,0,0.852498,331.73,"streaminte"
"20",549,886,"Taricha torosa",1894,"Los Angeles","CAS",60.97,"Aquatic",0,"Desert",34.147778,-118.143611,1890,263.9,0,0,"Wilbur",178,139,53,4176,317,58,259,133,228,236,129,490,106,1,96,298,7,16,273,10,0,10,0,0,10,0,8,38,38,16,4095.63,53211.7,317533,71708.6,7005.71,1951.9,33173.5,5108.11,1519.1,9530.06,12585.8,272,3472,1417,416,0,10,0,10,0,10,34,0,4,1519.1,"pipeline"
"21",550,887,"Taricha torosa",1894,"Los Angeles","CAS",59.04,"Aquatic",0,"Desert",34.147778,-118.143611,1890,263.9,0,0,"Wilbur",178,139,53,4176,317,58,259,133,228,236,129,490,106,1,96,298,7,16,273,10,0,10,0,0,10,0,8,38,38,16,4095.63,53211.7,317533,71708.6,7005.71,1951.9,33173.5,5108.11,1519.1,9530.06,12585.8,272,3472,1417,416,0,10,0,10,0,10,34,0,4,1519.1,"pipeline"
"22",589,27283,"Taricha torosa",1894,"San Diego","CAS",62.51,"Aquatic",0,"Desert",32.715278,-117.156389,1890,20.1,0,0,"O.N. Sanford",173,85,50,2957,254,85,169,140,206,214,137,262,57,1,95,159,4,7,138,10,0,10,0.131519,0,10,8,8,46.1315,46,12,6375.81,12611.5,489105,78489,4020.7,1111.79,1238.07,6591.48,13466.5,11714.4,6520.24,26,2483,1059,231,0,10,0,10,0.131519,10,46.1315,8,8,1111.79,"streaminte"
"23",102,1042,"Taricha granulosa",1895,"Mendocino","CAS",36.74,"Terrestrial",0,"Klamath",39.008575,-123.290231,1890,569.4,0,6438,"G.B. Culver",122,147,53,4498,283,8,275,74,180,182,70,1208,239,2,87,641,15,28,630,0,0,0,0,1,3,0,2.72822,6.72822,6,18,8867.95,121137,219369,130152,349.071,2229.82,33729,8867.95,41637.7,32619.9,1698.51,570,9950,1212,640,0,0,1,3,0,0,5.62955,0,1.62955,349.071,"streamperr"
"24",103,1044,"Taricha granulosa",1895,"Mendocino","CAS",38.46,"Terrestrial",0,"Klamath",39.008575,-123.290231,1890,569.4,0,6438,"G.B. Culver",122,147,53,4498,283,8,275,74,180,182,70,1208,239,2,87,641,15,28,630,0,0,0,0,1,3,0,2.72822,6.72822,6,18,8867.95,121137,219369,130152,349.071,2229.82,33729,8867.95,41637.7,32619.9,1698.51,570,9950,1212,640,0,0,1,3,0,0,5.62955,0,1.62955,349.071,"streamperr"
"25",577,1038,"Taricha torosa",1895,"Los Angeles","CAS",60.61,"Aquatic",0,"Desert",34.147778,-118.143611,1890,263.9,0,0,"W.R. Doane",178,139,53,4176,317,58,259,133,228,236,129,490,106,1,96,298,7,16,273,10,0,10,0,0,10,0,8,38,38,16,4095.63,53211.7,317533,71708.6,7005.71,1951.9,33173.5,5108.11,1519.1,9530.06,12585.8,272,3472,1417,416,0,10,0,10,0,10,34,0,4,1519.1,"pipeline"
"26",633,1036,"Taricha sierrae",1895,"Mariposa","CAS",64.84,"Terrestrial",0,"Sierra",37.725556,-119.703333,1890,1307.1,0,0,"W.R. Doane",100,147,45,6301,288,-33,321,35,184,185,28,971,171,5,78,474,28,35,471,0,0,0,0,0,1,0,8,9,9,9,13734.3,74768.8,36574.2,82261.9,474.789,788.113,187099,13734.3,27728.5,50466.2,25708.2,1322,8475,1148,616,0,0,0,1,0,0,9,0,8,474.789,"streamperr"
"27",634,1037,"Taricha sierrae",1895,"Mariposa","CAS",60.1,"Terrestrial",0,"Sierra",37.725556,-119.703333,1890,1307.1,0,0,"W.R. Doane",100,147,45,6301,288,-33,321,35,184,185,28,971,171,5,78,474,28,35,471,0,0,0,0,0,1,0,8,9,9,9,13734.3,74768.8,36574.2,82261.9,474.789,788.113,187099,13734.3,27728.5,50466.2,25708.2,1322,8475,1148,616,0,0,0,1,0,0,9,0,8,474.789,"streamperr"
"28",1125,43249,"Taricha torosa",1896,"Alameda","MVZ",54.56,"Terrestrial",0,"Central Valley",37.871028,-122.277108,1890,44,0,2257,"",145,89,51,2878,234,60,174,105,172,177,105,573,125,1,89,314,7,9,314,10,0,10,0.66132,0,10,8,4,42.6613,42,10,3579.58,22435.4,259980,146690,3717.29,1388.71,2512.18,3665.41,3936.03,5242.35,14482.9,44,5761,991,482,0,10,0,10,0.313793,10,33.042,0,2.72822,1388.71,"streaminte"
"29",19,1659,"Taricha granulosa",1897,"Mendocino","CAS",59.42,"Aquatic",0,"Klamath",39.427778,-123.808056,1890,2.3,0,0,"C.H. Gilbert et al.",112,103,59,2498,206,34,172,86,142,143,79,1029,181,3,80,509,21,33,508,0,0,0,0,0,0,0,0,0,0,0,1415.24,155690,184719,149346,1045.77,1423.5,144.38,63.581,59019.2,39826.8,2968.87,-1,10890,943,589,0,0,0,0,0,0,0,0,0,63.581,"artificial"
"30",20,1660,"Taricha granulosa",1897,"Mendocino","CAS",62.08,"Aquatic",0,"Klamath",39.427778,-123.808056,1890,2.3,0,0,"C.H. Gilbert et al.",112,103,59,2498,206,34,172,86,142,143,79,1029,181,3,80,509,21,33,508,0,0,0,0,0,0,0,0,0,0,0,1415.24,155690,184719,149346,1045.77,1423.5,144.38,63.581,59019.2,39826.8,2968.87,-1,10890,943,589,0,0,0,0,0,0,0,0,0,63.581,"artificial"
"31",25,1812,"Taricha granulosa",1897,"Mendocino","CAS",61.4,"Aquatic",0,"Klamath",38.999133,-123.689467,1890,7.4,0,0,"C.H. Gilbert et al.",119,101,60,2362,205,38,167,93,146,149,89,1030,192,3,83,534,19,31,515,0,0,0,0.00744527,0,2,0,8,10.0074,10,20,3922.35,146256,226794,158853,10.557,776.375,831.867,3928.87,63050.1,56142.9,166.517,5,10980,938,590,0,0,0,2,0.0231079,0,6.02311,0,4,10.557,"streamperr"
"32",35,1581,"Taricha granulosa",1897,"Humboldt","CAS",62.4,"Aquatic",0,"Klamath",40.088742,-123.789219,1890,259.9,0,3230,"C.H. Gilbert et al.",124,132,49,4845,288,19,269,69,187,188,66,1719,312,3,83,901,29,50,874,0,0,2,0,1,2,0,8,13,13,18,2285,88147.9,118662,147560,594.589,1162.63,21492.5,723.018,87962.3,80369.5,9177.68,254,14717,1168,672,0,0,1,2,0,2,13,0,8,594.589,"streamperr"
"33",37,1592,"Taricha granulosa",1897,"Humboldt","CAS",69.2,"Aquatic",0,"Klamath",40.023139,-123.940378,1890,319.2,0,1621,"C.H. Gilbert et al.",115,121,50,4172,259,20,239,70,169,171,65,1851,336,3,83,968,30,52,938,0,0,0,0.0180766,0,2,0,0.250084,2.26816,2,19,12683.1,92567.8,132073,158611,124.485,1721.15,7006.37,10846.6,93533.1,81445.3,5765.8,331,17363,1066,664,0,0,0,2,0.0180766,0,2.26816,0,0.250084,124.485,"streamperr"
"34",38,1661,"Taricha granulosa",1897,"Humboldt","CAS",72.5,"Aquatic",0,"Klamath",40.736389,-124.173056,1890,30.3,0,0,"C.H. Gilbert et al.",115,77,54,2282,189,47,142,92,141,145,88,1173,209,4,77,581,32,41,572,0,0,6,2.7594e-05,0,7,0,2.72822,15.7283,15,19,15232.7,14272.8,102224,206155,773.669,2031.71,2706.33,2878.83,20160.7,3201.63,6759.73,36,14904,787,575,0,0,0,7,2.7594e-05,6,15.7283,0,2.72822,773.669,"streamperr"
"35",39,1662,"Taricha granulosa",1897,"Humboldt","CAS",58.1,"Terrestrial",0,"Klamath",40.736389,-124.173056,1890,30.3,0,0,"C.H. Gilbert et al.",115,77,54,2282,189,47,142,92,141,145,88,1173,209,4,77,581,32,41,572,0,0,6,2.7594e-05,0,7,0,2.72822,15.7283,15,19,15232.7,14272.8,102224,206155,773.669,2031.71,2706.33,2878.83,20160.7,3201.63,6759.73,36,14904,787,575,0,0,0,7,2.7594e-05,6,15.7283,0,2.72822,773.669,"streamperr"
"36",71,1565,"Taricha granulosa",1897,"Mendocino","CAS",60,"Terrestrial",0,"Klamath",38.949903,-123.660117,1890,25.7,0,2012,"C.H. Gilbert et al.",119,100,59,2348,206,38,168,94,146,150,90,1031,194,3,83,536,19,31,517,0,0,0,0.0366245,0,2,0,1.33947,3.37609,3,20,3774.9,140979,231457,159719,12.7711,1266.22,5339.46,3777.85,64860.5,59655.3,6168.03,18,11159,949,595,0,0,0,2,0.0714894,0,4.79971,0,2.72822,12.7711,"streamperr"
"37",72,1566,"Taricha granulosa",1897,"Mendocino","CAS",78.3,"Aquatic",0,"Klamath",38.949903,-123.660117,1890,25.7,0,2012,"C.H. Gilbert et al.",119,100,59,2348,206,38,168,94,146,150,90,1031,194,3,83,536,19,31,517,0,0,0,0.0366245,0,2,0,1.33947,3.37609,3,20,3774.9,140979,231457,159719,12.7711,1266.22,5339.46,3777.85,64860.5,59655.3,6168.03,18,11159,949,595,0,0,0,2,0.0714894,0,4.79971,0,2.72822,12.7711,"streamperr"
"38",73,1567,"Taricha granulosa",1897,"Mendocino","CAS",65.9,"Aquatic",0,"Klamath",38.949903,-123.660117,1890,25.7,0,2012,"C.H. Gilbert et al.",119,100,59,2348,206,38,168,94,146,150,90,1031,194,3,83,536,19,31,517,0,0,0,0.0366245,0,2,0,1.33947,3.37609,3,20,3774.9,140979,231457,159719,12.7711,1266.22,5339.46,3777.85,64860.5,59655.3,6168.03,18,11159,949,595,0,0,0,2,0.0714894,0,4.79971,0,2.72822,12.7711,"streamperr"
"39",74,1568,"Taricha granulosa",1897,"Mendocino","CAS",67.3,"Aquatic",0,"Klamath",38.949903,-123.660117,1890,25.7,0,2012,"C.H. Gilbert et al.",119,100,59,2348,206,38,168,94,146,150,90,1031,194,3,83,536,19,31,517,0,0,0,0.0366245,0,2,0,1.33947,3.37609,3,20,3774.9,140979,231457,159719,12.7711,1266.22,5339.46,3777.85,64860.5,59655.3,6168.03,18,11159,949,595,0,0,0,2,0.0714894,0,4.79971,0,2.72822,12.7711,"streamperr"
"40",75,1593,"Taricha granulosa",1897,"Mendocino","CAS",73.6,"Aquatic",0,"Klamath",39.084081,-123.479308,1890,47.1,0,6127,"C.H. Gilbert et al.",128,122,56,3373,247,31,216,90,169,172,86,1002,197,3,84,522,17,27,522,0,0,0,0,2,2,0,8,12,12,21,22430.2,138558,213541,138439,16.8645,246.875,18709.1,23221.8,43257.2,38827.1,10049.5,48,9182,1101,609,0,0,2,2,0,0,12,0,8,16.8645,"streamperr"
"41",76,1594,"Taricha granulosa",1897,"Mendocino","CAS",72.9,"Aquatic",0,"Klamath",39.084081,-123.479308,1890,47.1,0,6127,"C.H. Gilbert et al.",128,122,56,3373,247,31,216,90,169,172,86,1002,197,3,84,522,17,27,522,0,0,0,0,2,2,0,8,12,12,21,22430.2,138558,213541,138439,16.8645,246.875,18709.1,23221.8,43257.2,38827.1,10049.5,48,9182,1101,609,0,0,2,2,0,0,12,0,8,16.8645,"streamperr"
"42",77,1595,"Taricha granulosa",1897,"Mendocino","CAS",57.5,"Aquatic",0,"Klamath",39.084081,-123.479308,1890,47.1,0,6127,"C.H. Gilbert et al.",128,122,56,3373,247,31,216,90,169,172,86,1002,197,3,84,522,17,27,522,0,0,0,0,2,2,0,8,12,12,21,22430.2,138558,213541,138439,16.8645,246.875,18709.1,23221.8,43257.2,38827.1,10049.5,48,9182,1101,609,0,0,2,2,0,0,12,0,8,16.8645,"streamperr"
"43",78,1596,"Taricha granulosa",1897,"Mendocino","CAS",67.2,"Aquatic",0,"Klamath",39.084081,-123.479308,1890,47.1,0,6127,"C.H. Gilbert et al.",128,122,56,3373,247,31,216,90,169,172,86,1002,197,3,84,522,17,27,522,0,0,0,0,2,2,0,8,12,12,21,22430.2,138558,213541,138439,16.8645,246.875,18709.1,23221.8,43257.2,38827.1,10049.5,48,9182,1101,609,0,0,2,2,0,0,12,0,8,16.8645,"streamperr"
"44",100,1582,"Taricha granulosa",1897,"Mendocino","CAS",71.08,"Aquatic",0,"Klamath",38.777983,-123.499083,1890,4.1,0,0,"C.H. Gilbert et al.",123,105,59,2499,217,40,177,96,151,155,92,1006,196,3,85,528,16,28,514,0,0,0,0.41053,0,2,0,0.852498,3.26303,3,20,25102.9,118734,247280,160646,3.3981,393.165,3150.54,915.354,72328.8,57943.7,24717.3,12,10303,990,594,0,0,0,2,0.41053,0,3.26303,0,0.852498,3.3981,"streamperr"
"45",101,1583,"Taricha granulosa",1897,"Mendocino","CAS",70.96,"Aquatic",0,"Klamath",38.777983,-123.499083,1890,4.1,0,0,"C.H. Gilbert et al.",123,105,59,2499,217,40,177,96,151,155,92,1006,196,3,85,528,16,28,514,0,0,0,0.41053,0,2,0,0.852498,3.26303,3,20,25102.9,118734,247280,160646,3.3981,393.165,3150.54,915.354,72328.8,57943.7,24717.3,12,10303,990,594,0,0,0,2,0.41053,0,3.26303,0,0.852498,3.3981,"streamperr"
"46",111,3345,"Taricha granulosa",1897,"Mendocino","CAS",47.2,"Aquatic",0,"Klamath",39.1784,-123.702533,1890,20.8,0,0,"J.O. Snyder",117,108,59,2634,213,32,181,88,147,150,83,1049,192,3,82,536,19,31,525,0,0,0,0.159884,0,4,0,8,12.1599,12,21,7254.89,159776,207936,150236,10.1955,2035.14,3520.48,3501.98,53609.1,41452.3,15121.1,32,10806,980,601,0,0,0,4,0.159884,0,12.1599,0,8,10.1955,"streamperr"
"47",357,1597,"Taricha granulosa",1897,"Sonoma","CAS",61.5,"Aquatic",0,"Central Coast",38.635356,-122.722247,1890,109.5,0,2265,"C.H. Gilbert et al.",146,157,53,4821,312,20,292,85,205,205,85,993,217,2,91,557,11,18,557,0,0,0,0,1,5,0,2.72822,8.72822,8,15,877.152,57840.8,260457,134180,1536.21,31.2225,40949.8,3769.64,63908.4,21603.1,15339.2,112,7375,1364,629,0,0,1,5,0,0,8.72822,0,2.72822,31.2225,"streaminte"
"48",358,1598,"Taricha granulosa",1897,"Sonoma","CAS",58.6,"Aquatic",0,"Central Coast",38.635356,-122.722247,1890,109.5,0,2265,"C.H. Gilbert et al.",146,157,53,4821,312,20,292,85,205,205,85,993,217,2,91,557,11,18,557,0,0,0,0,1,5,0,2.72822,8.72822,8,15,877.152,57840.8,260457,134180,1536.21,31.2225,40949.8,3769.64,63908.4,21603.1,15339.2,112,7375,1364,629,0,0,1,5,0,0,8.72822,0,2.72822,31.2225,"streaminte"
"49",380,1678,"Taricha granulosa",1897,"Sonoma","CAS",65.93,"Aquatic",0,"Central Coast",38.635356,-122.722247,1890,109.5,0,2265,"C.H. Gilbert et al.",146,157,53,4821,312,20,292,85,205,205,85,993,217,2,91,557,11,18,557,0,0,0,0,1,5,0,2.72822,8.72822,8,15,877.152,57840.8,260457,134180,1536.21,31.2225,40949.8,3769.64,63908.4,21603.1,15339.2,112,7375,1364,629,0,0,1,5,0,0,8.72822,0,2.72822,31.2225,"streaminte"
"50",381,1679,"Taricha granulosa",1897,"Sonoma","CAS",67.45,"Aquatic",0,"Central Coast",38.635356,-122.722247,1890,109.5,0,2265,"C.H. Gilbert et al.",146,157,53,4821,312,20,292,85,205,205,85,993,217,2,91,557,11,18,557,0,0,0,0,1,5,0,2.72822,8.72822,8,15,877.152,57840.8,260457,134180,1536.21,31.2225,40949.8,3769.64,63908.4,21603.1,15339.2,112,7375,1364,629,0,0,1,5,0,0,8.72822,0,2.72822,31.2225,"streaminte"
"51",419,1091,"Taricha granulosa",1897,"Sonoma","CAS",63.61,"Aquatic",0,"Central Coast",38.695542,-123.025539,1890,145.9,0,816,"Culver, Maddren and Snyder",140,145,53,4276,295,26,269,92,194,195,87,1125,237,2,90,611,12,23,605,0,0,0,0,0,4,0,0.252105,4.2521,4,18,0,80297.1,252711,140771,2751.17,1479.54,27092,10.0842,74480.1,31825.3,4528.31,140,8888,1278,635,0,0,0,3,0,0,3.25133,0,0.25133,0,"lakepond"
"52",420,1092,"Taricha granulosa",1897,"Sonoma","CAS",67.82,"Aquatic",0,"Central Coast",38.695542,-123.025539,1890,145.9,0,816,"Culver, Maddren and Snyder",140,145,53,4276,295,26,269,92,194,195,87,1125,237,2,90,611,12,23,605,0,0,0,0,0,4,0,0.252105,4.2521,4,18,0,80297.1,252711,140771,2751.17,1479.54,27092,10.0842,74480.1,31825.3,4528.31,140,8888,1278,635,0,0,0,3,0,0,3.25133,0,0.25133,0,"lakepond"
"53",421,1093,"Taricha granulosa",1897,"Sonoma","CAS",75.43,"Aquatic",0,"Central Coast",38.695542,-123.025539,1890,145.9,0,816,"Culver, Maddren and Snyder",140,145,53,4276,295,26,269,92,194,195,87,1125,237,2,90,611,12,23,605,0,0,0,0,0,4,0,0.252105,4.2521,4,18,0,80297.1,252711,140771,2751.17,1479.54,27092,10.0842,74480.1,31825.3,4528.31,140,8888,1278,635,0,0,0,3,0,0,3.25133,0,0.25133,0,"lakepond"
"54",422,1723,"Taricha granulosa",1897,"Napa","CAS",64.35,"Aquatic",0,"Central Coast",37.417903,-121.855006,1890,64.5,0,0,"C.H. Gilbert et al.",153,132,52,4365,291,38,253,96,204,207,96,403,83,1,86,212,5,9,212,10,0,10,0,0,10,0,1.62955,31.6295,31,13,5023.97,6809.71,229543,109205,316.572,15.7423,10177.9,5253.7,3810.74,3600.93,9614.57,63,3150,1279,342,0,10,0,10,0,10,31.6295,0,1.62955,15.7423,"streaminte"
