CatalogNumber,date,svl,tail,notes,ZSWAB,logZE,BdStatus,InstitutionCode,YearCollected,decade,MonthCollected,DayCollected,County,Locality,Latitude,Longitude
46911,2/20/15,2.02,1.26,KC,0,0,0,MVZ,1947,1940,11,15,Mendocino County,5.6 mi N Laytonville,39.7581331,-123.4759858
45934,7/7/15,5.06,5.07,MC,0,0,0,MVZ,1947,1940,12,8,Los Angeles County,"Sepulveda Canyon, Sherman Oaks, Santa Monica Mts.",34.13,-118.47
45935,7/7/15,2.12,1.19,MC,0,0,0,MVZ,1947,1940,12,15,Los Angeles County,"Madelia Canyon, Sherman Oaks, Santa Monica Mts.",34.1441269,-118.4528861
45936,7/7/15,1.67,1.08,MC,0,0,0,MVZ,1947,1940,12,24,Los Angeles County,"Madelia Canyon, Sherman Oaks, Santa Monica Mts.",34.1441269,-118.4528861
45937,7/7/15,1.95,1.52,MC,0,0,0,MVZ,1947,1940,12,24,Los Angeles County,"Madelia Canyon, Sherman Oaks, Santa Monica Mts.",34.1441269,-118.4528861
44298,3/31/15,1.89,1.5,MC,0,0,0,MVZ,1947,1940,12,29,Lake County,1 mi N Lucerne,39.1095102,-122.8162571
44306,3/31/15,2.09,1.62,MC,0,0,0,MVZ,1947,1940,12,29,Lake County,1 mi N Lucerne,39.1095102,-122.8162571
44304,3/31/15,2.1,1.39,MC,0,0,0,MVZ,1947,1940,12,29,Lake County,1 mi N Lucerne,39.1095102,-122.8162571
46941,3/11/15,2.92,2.06,ZS,0,0,0,MVZ,1948,1940,2,1,Alameda County,"1814 Delaware Street , Berkeley",37.87407,-122.27408
46942,3/11/15,3.91,3.11,ZS,0,0,0,MVZ,1948,1940,2,1,Alameda County,"1814 Delaware Street , Berkeley",37.87407,-122.27408
46590,2/9/15,4.94,4.1,SL,0,0,0,MVZ,1948,1940,2,13,Monterey County,3 mi E and 2 mi S Jamesburg,36.340211,-121.535682
46592,1/23/15,5.24,3.88,KC,0,0,0,MVZ,1948,1940,2,13,Monterey County,3 mi E and 2 mi S Jamesburg,36.340211,-121.535682
46591,1/23/15,5.38,2.37,,0,0,0,MVZ,1948,1940,2,13,Monterey County,3 mi E and 2 mi S Jamesburg,36.340211,-121.535682
46957,2/27/15,2.49,1.44,KC,0,0,0,MVZ,1948,1940,3,9,Marin County,Woodacre,38.0086039,-122.6374229
46955,2/27/15,3.57,2.55,KC,0,0,0,MVZ,1948,1940,3,9,Marin County,Woodacre,38.0086039,-122.6374229
46980,2/27/15,3.76,2.45,KC looks skinny,0,0,0,MVZ,1948,1940,3,16,Marin County,Woodacre,38.0086039,-122.6374229
46968,3/4/15,2.93,2.47,,0,0,0,MVZ,1948,1940,3,28,Napa County,0.25 mi NNE Angwin,38.5756635,-122.4467024
46967,3/4/15,2.95,2.63,MC,0,0,0,MVZ,1948,1940,3,28,Napa County,0.25 mi NNE Angwin,38.5756635,-122.4467024
46966,3/4/15,3.04,2.5,MC,0,0,0,MVZ,1948,1940,3,28,Napa County,0.25 mi NNE Angwin,38.5756635,-122.4467024
46603,3/4/15,6.42,4.1,MC,0,0,0,MVZ,1948,1940,3,28,Napa County,0.25 mi NNE Angwin,38.5756635,-122.4467024
46604,3/4/15,6.81,6.16,MC,0,0,0,MVZ,1948,1940,3,28,Napa County,0.25 mi NNE Angwin,38.5756635,-122.4467024
46964,3/4/15,,,not measured,0,0,0,MVZ,1948,1940,3,28,Napa County,0.25 mi NNE Angwin,38.5756635,-122.4467024
46290,2/20/15,7.86,5.92,KC eggs,0,0,0,MVZ,1948,1940,4,6,Mendocino County,0.4 mi N Lane's Redwood Flat,39.90246,-123.75109
73742,?,2.7,2.04,MC,0,0,0,MVZ,1948,1940,4,29,Tuolumne County,"2.5 mi ESE Groveland, along Hwy. 120",37.828517,-120.187008
46975,3/11/15,6.67,5.78,ZS,0,0,0,MVZ,1948,1940,5,1,Alameda County,Berkeley,37.8697904,-122.2715302
46922,2/11/15,7.08,6.91,ZS,0,0,0,MVZ,1948,1940,5,4,Sonoma County,"3.8 mi N Cloverdale, U.S. 101",38.847769,-123.0227763
46978,3/31/15,6.31,6.03,MC,0,0,0,MVZ,1948,1940,5,9,Contra Costa County,Tilden Regional Park,37.9002916,-122.2474675
46982,3/4/15,7.15,7.69,MC,0,0,0,MVZ,1948,1940,6,27,San Mateo County,"Harrison's, near La Honda",37.319194,-122.273237
60311,2/27/15,7.47,5.44,KC feels skinny,0,0,0,MVZ,1949,1940,1,30,Marin County,"along Spring Grove Ave., 0.25 mi S San Rafael",37.9725248,-122.5454915
60296,3/11/15,5.06,4.14,MC,0,0,0,MVZ,1949,1940,2,9,Santa Barbara County,Arroyo El Bullito Hollister Ranch,34.4861,-120.378
13442,5/28/15,6.08,6.01,,0,0,0,CAS,1949,1940,2,25,San Mateo Co.,0.25 mi S of San Andreas Lake,37.5772,-122.4102333
74526,3/9/15,6.45,5.51,"JE, very skinny",0,0,0,MVZ,1949,1940,3,1,San Benito County,no specific locality recorded,,
13448,5/29/15,5.61,5.2,substitute,0,0,0,CAS,1949,1940,3,4,San Mateo Co.,"S end of Crystal Springs Lake, 40 yds S of Pulgas Temple",37.48328333,-122.3178667
13453,5/28/15,4.94,4.57,,0,0,0,CAS,1949,1940,3,6,San Mateo Co.,between Crocker and Spencer Lakes,37.56751389,-122.3760139
60297,3/6/15,5.43,3.24,KC,0,0,0,MVZ,1949,1940,3,19,San Luis Obispo County,2.4 mi SW Santa Margarita along U.S. 101,35.365346,-120.637298
60300,2/20/15,4.26,3.1,KC,0,0,0,MVZ,1949,1940,3,22,Mendocino County,"1.5 mi NE junction Hwy. 20, road to Potter Valley",39.2612497,-123.1133162
60302,2/20/15,4.9,3.95,KC feels skinny,0,0,0,MVZ,1949,1940,3,23,Mendocino County,0.4 mi N Lane's Redwood Flat,39.90246,-123.75109
47294,7/7/15,5.83,5.3,MC,0,0,0,MVZ,1949,1940,3,26,Los Angeles County,"Beverly Glenn, N side Santa Monica Mts.",34.13,-118.45
60315,3/18/15,3.18,2.63,MC,0,0,0,MVZ,1949,1940,3,27,San Diego County,Rose Canyon,32.86,-117.18
13444,5/29/15,2.76,2.07,,0,0,0,CAS,1949,1940,3,27,San Mateo Co.,3 mi S of San Andreas Lake,37.54521669,-122.3811167
13438,5/28/15,2.25,1.7,,0,0,0,CAS,1949,1940,3,,Contra Costa Co.,"Buckle Point, 1/2 way up North Rd to Mt Diablo",37.87946669,-121.9639333
13458,5/27/15,4.4,4.08,,0,0,0,CAS,1949,1940,4,13,San Mateo Co.,"San Mateo, San Mateo Park",37.56666111,-122.3441639
13466,5/28/15,2.42,1.98,,0,0,0,CAS,1949,1940,4,30,San Mateo Co.,"San Mateo, 20th Ave",37.54846668,-122.3110667
50254,3/4/15,7.12,6.79,MC,0,0,0,MVZ,1949,1940,5,15,Tuolumne County,"Woods Creek, Sawmill Flat",38.02022,-120.38119
50239,3/4/15,7.49,6.65,MC,0,0,0,MVZ,1949,1940,5,20,Tuolumne County,"Woods Creek, Sawmill Flat",38.02022,-120.38119
9581,5/28/15,6.06,5.45,,0,0,0,CAS,1949,1940,5,22,Calaveras Co.,Mercer's Cave,38.15138889,-120.4772222
51292,2/9/15,2.59,1.58,SL,0,0,0,MVZ,1950,1950,5,21,Monterey County,"Monterey-San Benito County line, Fremont Peak",36.757807,-121.505513
15597,5/28/15,4.29,3.39,,0,0,0,CAS,1950,1950,5,24,Los Angeles Co.,"2 mi N of Claremont, W of Padua Hills, Palmer Canyon",34.14383334,-117.7078167
51749,1/23/15,4.93,5.3,MC,0,0,0,MVZ,1950,1950,11,26,Monterey County,Robles del Rio,36.470127,-121.735429
51748,1/23/15,6.61,5.41,MC,0,0,0,MVZ,1950,1950,11,26,Monterey County,Robles del Rio,36.470127,-121.735429
55669,2/9/15,2.68,1.81,MC,0,0,0,MVZ,1951,1950,3,4,Sonoma County,0.5 mi W Skaggs Springs,38.6967937,-123.0335332
55668,2/9/15,2.95,2.13,MC,0,0,0,MVZ,1951,1950,3,4,Sonoma County,0.5 mi W Skaggs Springs,38.6967937,-123.0335332
55667,2/9/15,5.15,4.49,MC,0,0,0,MVZ,1951,1950,3,4,Sonoma County,0.5 mi W Skaggs Springs,38.6967937,-123.0335332
54172,3/11/15,4.44,4.07,MC,0,0,0,MVZ,1951,1950,3,8,Orange County,1 mi NW Trabuco Canyon Post Office,33.66994,-117.59868
54173,3/18/15,7.61,6.36,ZS,0,0,0,MVZ,1951,1950,3,8,San Diego County,"Sweetwater River, 2 mi W and 0.5 mi S Dehesa",32.78,-116.87
54174,3/18/15,2.62,1.81,MC,0,0,0,MVZ,1951,1950,3,9,San Diego County,ca. 8 mi S [on U.S. 395] Bonsall turnoff,33.21,-117.13
54425,4/1/15,2.77,2.05,ZS,0,0,0,MVZ,1951,1950,3,17,Humboldt County,2.9 mi N (by road) Piercy,40.000952,-123.7829286
54428,4/1/15,2.8,2.25,ZS,0,0,0,MVZ,1951,1950,3,17,Humboldt County,2.9 mi N (by road) Piercy,40.000952,-123.7829286
54427,4/1/15,2.86,1.81,ZS,0,0,0,MVZ,1951,1950,3,17,Humboldt County,2.9 mi N (by road) Piercy,40.000952,-123.7829286
54420,4/1/15,2.94,2.34,ZS,0,0,0,MVZ,1951,1950,3,17,Humboldt County,2.9 mi N (by road) Piercy,40.000952,-123.7829286
54426,4/1/15,3.07,2.23,ZS,0,0,0,MVZ,1951,1950,3,17,Humboldt County,2.9 mi N (by road) Piercy,40.000952,-123.7829286
10853,5/28/15,7.55,8.01,,0,0,0,CAS,1951,1950,3,25,Calaveras Co.,"Cave of the Skulls, T3N, R14E, Sec33, NE quarter, 120 26 15 N, 38 04 20 W",38.07222222,-120.4375
53998,?,3.23,2.68,MC,0,0,0,MVZ,1951,1950,4,14,Tuolumne County,Sawmill Flat,38.020702,-120.380301
53997,?,2.94,2.06,MC,0,0,0,MVZ,1951,1950,4,14,Tuolumne County,Sawmill Flat,38.020702,-120.380301
55489,3/9/15,6.07,5.01,JE,0,0,0,MVZ,1951,1950,4,24,San Benito County,Pinnacles National Monument,36.5333449,-121.145152
54023,2/20/15,5.93,4.76,KC,0,0,0,MVZ,1951,1950,5,12,Mendocino County,7 mi SE Booneville,38.9774438,-123.2523636
54628,3/11/15,5.82,5.26,MC,0,0,0,MVZ,1951,1950,10,23,San Francisco County,Southeast Farallon Island,37.698188,-123.002005
55997,2/20/15,4.97,3.82,KC,0,0,0,MVZ,1952,1950,2,3,Mendocino County,9.4 mi SSE Willits [U.S. Hwy. 101],39.2734652,-123.2927972
