ID,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
11,-121.8985,36.5865,456,2014-05,0.14,50.8,59.7,68.7
11,-121.8985,36.5865,456,2014-06,0.02,50.2,58.1,66.1
11,-121.8985,36.5865,456,2014-07,0.05,54.6,61.8,68.9
11,-121.8985,36.5865,456,2014-08,0,55.6,62.3,69
11,-121.8985,36.5865,456,2014-09,0.27,55.3,63.3,71.4
11,-121.8985,36.5865,456,2014-10,0.22,53.2,63.4,73.6
11,-121.8985,36.5865,456,2014-11,2.46,49.2,58.4,67.7
11,-121.8985,36.5865,456,2014-12,9.04,48.6,55.6,62.6
11,-121.8985,36.5865,456,2015-01,0,46.1,56,66
11,-121.8985,36.5865,456,2015-02,1.37,48.7,58.2,67.7
11,-121.8985,36.5865,456,2015-03,0.68,47.8,58.4,69
11,-121.8985,36.5865,456,2015-04,1.05,46.2,54.6,63.1
11,-121.8985,36.5865,456,2015-05,0.4,49.3,55.1,61
11,-121.8985,36.5865,456,2015-06,0,51.2,58.6,66
11,-121.8985,36.5865,456,2015-07,0.12,55.4,62.9,70.5
11,-121.8985,36.5865,456,2015-08,0.02,56.1,64.5,73
11,-121.8985,36.5865,456,2015-09,0,55.7,65.8,75.9
11,-121.8985,36.5865,456,2015-10,0.29,54.4,64.3,74.1
11,-121.8985,36.5865,456,2015-11,3.13,44.8,54.6,64.3
11,-121.8985,36.5865,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
12,-121.8983,36.5864,456,2014-01,0.08,46.2,56.8,67.5
12,-121.8983,36.5864,456,2014-02,3.86,46,53.2,60.3
12,-121.8983,36.5864,456,2014-03,2.59,47.8,56.4,65
12,-121.8983,36.5864,456,2014-04,1.6,47.1,55.5,64
12,-121.8983,36.5864,456,2014-05,0.14,50.8,59.7,68.7
12,-121.8983,36.5864,456,2014-06,0.02,50.2,58.1,66.1
12,-121.8983,36.5864,456,2014-07,0.05,54.6,61.8,68.9
12,-121.8983,36.5864,456,2014-08,0,55.6,62.3,69
12,-121.8983,36.5864,456,2014-09,0.27,55.3,63.3,71.4
12,-121.8983,36.5864,456,2014-10,0.22,53.2,63.4,73.6
12,-121.8983,36.5864,456,2014-11,2.46,49.2,58.4,67.7
12,-121.8983,36.5864,456,2014-12,9.04,48.6,55.6,62.6
12,-121.8983,36.5864,456,2015-01,0,46.1,56,66
12,-121.8983,36.5864,456,2015-02,1.37,48.7,58.2,67.7
12,-121.8983,36.5864,456,2015-03,0.68,47.8,58.4,69
12,-121.8983,36.5864,456,2015-04,1.05,46.2,54.6,63.1
12,-121.8983,36.5864,456,2015-05,0.4,49.3,55.1,61
12,-121.8983,36.5864,456,2015-06,0,51.2,58.6,66
12,-121.8983,36.5864,456,2015-07,0.12,55.4,62.9,70.5
12,-121.8983,36.5864,456,2015-08,0.02,56.1,64.5,73
12,-121.8983,36.5864,456,2015-09,0,55.7,65.8,75.9
12,-121.8983,36.5864,456,2015-10,0.29,54.4,64.3,74.1
12,-121.8983,36.5864,456,2015-11,3.13,44.8,54.6,64.3
12,-121.8983,36.5864,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
13,-121.8989,36.587,456,2014-01,0.08,46.2,56.8,67.5
13,-121.8989,36.587,456,2014-02,3.86,46,53.2,60.3
13,-121.8989,36.587,456,2014-03,2.59,47.8,56.4,65
13,-121.8989,36.587,456,2014-04,1.6,47.1,55.5,64
13,-121.8989,36.587,456,2014-05,0.14,50.8,59.7,68.7
13,-121.8989,36.587,456,2014-06,0.02,50.2,58.1,66.1
13,-121.8989,36.587,456,2014-07,0.05,54.6,61.8,68.9
13,-121.8989,36.587,456,2014-08,0,55.6,62.3,69
13,-121.8989,36.587,456,2014-09,0.27,55.3,63.3,71.4
13,-121.8989,36.587,456,2014-10,0.22,53.2,63.4,73.6
13,-121.8989,36.587,456,2014-11,2.46,49.2,58.4,67.7
13,-121.8989,36.587,456,2014-12,9.04,48.6,55.6,62.6
13,-121.8989,36.587,456,2015-01,0,46.1,56,66
13,-121.8989,36.587,456,2015-02,1.37,48.7,58.2,67.7
13,-121.8989,36.587,456,2015-03,0.68,47.8,58.4,69
13,-121.8989,36.587,456,2015-04,1.05,46.2,54.6,63.1
13,-121.8989,36.587,456,2015-05,0.4,49.3,55.1,61
13,-121.8989,36.587,456,2015-06,0,51.2,58.6,66
13,-121.8989,36.587,456,2015-07,0.12,55.4,62.9,70.5
13,-121.8989,36.587,456,2015-08,0.02,56.1,64.5,73
13,-121.8989,36.587,456,2015-09,0,55.7,65.8,75.9
13,-121.8989,36.587,456,2015-10,0.29,54.4,64.3,74.1
13,-121.8989,36.587,456,2015-11,3.13,44.8,54.6,64.3
13,-121.8989,36.587,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
14,-121.8986,36.5865,456,2014-01,0.08,46.2,56.8,67.5
14,-121.8986,36.5865,456,2014-02,3.86,46,53.2,60.3
14,-121.8986,36.5865,456,2014-03,2.59,47.8,56.4,65
14,-121.8986,36.5865,456,2014-04,1.6,47.1,55.5,64
14,-121.8986,36.5865,456,2014-05,0.14,50.8,59.7,68.7
14,-121.8986,36.5865,456,2014-06,0.02,50.2,58.1,66.1
14,-121.8986,36.5865,456,2014-07,0.05,54.6,61.8,68.9
14,-121.8986,36.5865,456,2014-08,0,55.6,62.3,69
14,-121.8986,36.5865,456,2014-09,0.27,55.3,63.3,71.4
14,-121.8986,36.5865,456,2014-10,0.22,53.2,63.4,73.6
14,-121.8986,36.5865,456,2014-11,2.46,49.2,58.4,67.7
14,-121.8986,36.5865,456,2014-12,9.04,48.6,55.6,62.6
14,-121.8986,36.5865,456,2015-01,0,46.1,56,66
14,-121.8986,36.5865,456,2015-02,1.37,48.7,58.2,67.7
14,-121.8986,36.5865,456,2015-03,0.68,47.8,58.4,69
14,-121.8986,36.5865,456,2015-04,1.05,46.2,54.6,63.1
14,-121.8986,36.5865,456,2015-05,0.4,49.3,55.1,61
14,-121.8986,36.5865,456,2015-06,0,51.2,58.6,66
14,-121.8986,36.5865,456,2015-07,0.12,55.4,62.9,70.5
14,-121.8986,36.5865,456,2015-08,0.02,56.1,64.5,73
14,-121.8986,36.5865,456,2015-09,0,55.7,65.8,75.9
14,-121.8986,36.5865,456,2015-10,0.29,54.4,64.3,74.1
14,-121.8986,36.5865,456,2015-11,3.13,44.8,54.6,64.3
14,-121.8986,36.5865,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
15,-121.8982,36.5882,456,2014-01,0.08,46.2,56.8,67.5
15,-121.8982,36.5882,456,2014-02,3.86,46,53.2,60.3
15,-121.8982,36.5882,456,2014-03,2.59,47.8,56.4,65
15,-121.8982,36.5882,456,2014-04,1.6,47.1,55.5,64
15,-121.8982,36.5882,456,2014-05,0.14,50.8,59.7,68.7
15,-121.8982,36.5882,456,2014-06,0.02,50.2,58.1,66.1
15,-121.8982,36.5882,456,2014-07,0.05,54.6,61.8,68.9
15,-121.8982,36.5882,456,2014-08,0,55.6,62.3,69
15,-121.8982,36.5882,456,2014-09,0.27,55.3,63.3,71.4
15,-121.8982,36.5882,456,2014-10,0.22,53.2,63.4,73.6
15,-121.8982,36.5882,456,2014-11,2.46,49.2,58.4,67.7
15,-121.8982,36.5882,456,2014-12,9.04,48.6,55.6,62.6
15,-121.8982,36.5882,456,2015-01,0,46.1,56,66
15,-121.8982,36.5882,456,2015-02,1.37,48.7,58.2,67.7
15,-121.8982,36.5882,456,2015-03,0.68,47.8,58.4,69
15,-121.8982,36.5882,456,2015-04,1.05,46.2,54.6,63.1
15,-121.8982,36.5882,456,2015-05,0.4,49.3,55.1,61
15,-121.8982,36.5882,456,2015-06,0,51.2,58.6,66
15,-121.8982,36.5882,456,2015-07,0.12,55.4,62.9,70.5
15,-121.8982,36.5882,456,2015-08,0.02,56.1,64.5,73
15,-121.8982,36.5882,456,2015-09,0,55.7,65.8,75.9
15,-121.8982,36.5882,456,2015-10,0.29,54.4,64.3,74.1
15,-121.8982,36.5882,456,2015-11,3.13,44.8,54.6,64.3
15,-121.8982,36.5882,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
16,-121.8984,36.5879,456,2014-01,0.08,46.2,56.8,67.5
16,-121.8984,36.5879,456,2014-02,3.86,46,53.2,60.3
16,-121.8984,36.5879,456,2014-03,2.59,47.8,56.4,65
16,-121.8984,36.5879,456,2014-04,1.6,47.1,55.5,64
16,-121.8984,36.5879,456,2014-05,0.14,50.8,59.7,68.7
16,-121.8984,36.5879,456,2014-06,0.02,50.2,58.1,66.1
16,-121.8984,36.5879,456,2014-07,0.05,54.6,61.8,68.9
16,-121.8984,36.5879,456,2014-08,0,55.6,62.3,69
16,-121.8984,36.5879,456,2014-09,0.27,55.3,63.3,71.4
16,-121.8984,36.5879,456,2014-10,0.22,53.2,63.4,73.6
16,-121.8984,36.5879,456,2014-11,2.46,49.2,58.4,67.7
16,-121.8984,36.5879,456,2014-12,9.04,48.6,55.6,62.6
16,-121.8984,36.5879,456,2015-01,0,46.1,56,66
16,-121.8984,36.5879,456,2015-02,1.37,48.7,58.2,67.7
16,-121.8984,36.5879,456,2015-03,0.68,47.8,58.4,69
16,-121.8984,36.5879,456,2015-04,1.05,46.2,54.6,63.1
16,-121.8984,36.5879,456,2015-05,0.4,49.3,55.1,61
16,-121.8984,36.5879,456,2015-06,0,51.2,58.6,66
16,-121.8984,36.5879,456,2015-07,0.12,55.4,62.9,70.5
16,-121.8984,36.5879,456,2015-08,0.02,56.1,64.5,73
16,-121.8984,36.5879,456,2015-09,0,55.7,65.8,75.9
16,-121.8984,36.5879,456,2015-10,0.29,54.4,64.3,74.1
16,-121.8984,36.5879,456,2015-11,3.13,44.8,54.6,64.3
16,-121.8984,36.5879,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
17,-121.9308,36.6093,72,2014-01,0.08,46.6,55.5,64.3
17,-121.9308,36.6093,72,2014-02,3.29,47.3,52.7,58.1
17,-121.9308,36.6093,72,2014-03,2.04,49.4,55.4,61.4
17,-121.9308,36.6093,72,2014-04,1.43,49.2,53.8,58.3
17,-121.9308,36.6093,72,2014-05,0.08,52.7,58.9,65.1
17,-121.9308,36.6093,72,2014-06,0,52.8,57.4,62.1
17,-121.9308,36.6093,72,2014-07,0.06,56.2,59.9,63.6
17,-121.9308,36.6093,72,2014-08,0,56.8,60.1,63.5
17,-121.9308,36.6093,72,2014-09,0.27,57.3,60.8,64.3
17,-121.9308,36.6093,72,2014-10,0.21,54.7,61,67.3
