catalognumber,swabdate,svl,tail,notes,zswab,logZE,BdStatus,status,date,decade,year,month,day,locality,latitude,longitude
155441,5/1/15,3.04,3.35,DA,79.04,1.90330708,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
155434,5/3/15,3.45,4.06,MC,73.2,1.870403905,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
222779,4/10/15,3.36,4.75,JE,66.24,1.827627705,1.000000000,1,3/28/95,1990,1995,3,28,"across from 24520 Outlook Drive, near High Meadow, beyond NE corner Carmel city limits",36.565222,-121.90559
155437,3/4/15,3.21,4.42,KC,47.68,1.68735057,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
155427,2/11/15,3.82,6.33,,46.16,1.673573796,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
155428,2/11/15,3.6,5.21,,42,1.633468456,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
155019,11/7/14,3.04,1.04,"br, losing skin",39.28,1.605089462,1.000000000,1,3/6/74,1970,1974,3,6,Hastings Natural History Reservation,36.37851365,-121.5568207
222771,4/24/15,3.36,2.49,DA missing 1/2 tail,39.04,1.602494069,1.000000000,1,3/28/95,1990,1995,3,28,"across from 24520 Outlook Drive, near High Meadow, beyond NE corner Carmel city limits",36.565222,-121.90559
222774,4/10/15,2.49,2.91,DA,28,1.462397998,1.000000000,1,3/28/95,1990,1995,3,28,"across from 24520 Outlook Drive, near High Meadow, beyond NE corner Carmel city limits",36.565222,-121.90559
215736,4/24/15,3.69,4.03,DA,26.4,1.437750563,1.000000000,1,10/7/89,1980,1989,10,7,"State Fire Station, junction of Hwy. 68 and Scenic Drive near S city limit, Monterey",36.5861715,-121.8615551
155431,4/25/15,37.34,65.72,,24.88,1.412964272,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
266807,10/31/14,3.75,4.08,"1470, tc?",19.68,1.315550534,1.000000000,1,4/2/07,2000,2007,4,2,"Nacimiento-Fergusson Rd., 3 mi E of summit, Los Padres National Forest",36,-121.47146
155017,12/5/14,3.49,3.35,,16.16,1.234517284,1.000000000,1,3/6/74,1970,1974,3,6,Hastings Natural History Reservation,36.37851365,-121.5568207
220487,4/10/15,3.96,1.79,DA,11.84,1.108565024,1.000000000,1,3/28/92,1990,1992,3,28,Hastings Natural History Reservation,36.37851365,-121.5568207
222770,4/10/15,3.09,2.38,JE tail broken,10.8,1.071882007,1.000000000,1,3/28/95,1990,1995,3,28,"across from 24520 Outlook Drive, near High Meadow, beyond NE corner Carmel city limits",36.565222,-121.90559
155426,4/25/15,38.32,62.09,PM,10.64,1.06595298,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
224754,4/10/15,3.39,0.68,DA,9.52,1.02201574,1.000000000,1,2/26/93,1990,1993,2,26,"Arroyo Seco, vicinity of campground, Los Padres National Forest",36.322764,-121.490184
224755,4/24/15,2.62,3.53,DA,9.52,1.02201574,1.000000000,1,2/26/93,1990,1993,2,26,"Arroyo Seco, vicinity of campground, Los Padres National Forest",36.322764,-121.490184
155430,4/27/15,3.41,5.43,SL,7.912,0.949975178,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
224765,4/10/15,4.31,0.7,DA missing tail,7.112,0.909127942,1.000000000,1,11/12/93,1990,1993,11,12,"Don Dahvee Park, Monterey",36.5902778,-121.8925
155211,5/1/15,2.81,1.51,JE tail regrown,6.392,0.868761958,1.000000000,1,3/30/75,1970,1975,3,30,1.4 mi E Laureles Rd. on G-16,36.486392,-121.737949
225980,4/10/15,3.63,4.38,DA,4.624,0.750045312,1.000000000,1,1/18/97,1990,1997,1,18,"Nacimiento-Fergusson Rd., 1.7 mi SE summit",36.006667,-121.433667
222777,4/10/15,2.68,3.55,JE,4.512,0.741309209,1.000000000,1,3/28/95,1990,1995,3,28,"across from 24520 Outlook Drive, near High Meadow, beyond NE corner Carmel city limits",36.565222,-121.90559
155282,4/25/15,20.21,19.02,PM,3.968,0.696181587,1.000000000,1,3/30/75,1970,1975,3,30,1.4 mi E Laureles Rd. on G-16,36.486392,-121.737949
105371,10/31/14,2.3,2.69,,2.976,0.599446376,1.000000000,1,10/15/72,1970,1972,10,15,"opposite 204 Carmel Valley Rd., 1.4 mi E junction with Laureles Rd.",36.4881,-121.7394
237121,4/10/15,3.52,6.39,JE,2.464,0.539577883,1.000000000,1,1/14/01,2000,2001,1,14,"along Nacimineto-Fergusson Rd. [=#4004] at Nacimiento River, 9.0 mi W San Antonio Bridge",35.98888889,-121.3586111
167542,3/4/15,3.41,3.96,KC,2.328,0.522183318,1.000000000,1,1/27/79,1970,1979,1,27,"S Fork Little Sur River, 7 mi SSE Hwy. 1 by Coast Rd.",36.309298,-121.791873
266792,10/31/14,3.05,3.02,br,2.144,0.497482537,1.000000000,1,3/31/07,2000,2007,3,31,"0.1 mi N High Meadow Rd on Via Mar Monte, Carmel",36.5694,-121.9094
151068,1/14/15,5.06,3.65,,2.08,0.488550717,1.000000000,1,10/13/73,1970,1973,10,13,"on County Rd. G-16, E Laureles Rd.",36.500518,-121.754897
222775,4/24/15,2.29,2.92,DA,1.864,0.456973014,1.000000000,1,3/28/95,1990,1995,3,28,"across from 24520 Outlook Drive, near High Meadow, beyond NE corner Carmel city limits",36.565222,-121.90559
237122,4/10/15,3.06,5.42,JE,1.736,0.437116093,1.000000000,1,1/14/01,2000,2001,1,14,"along Nacimineto-Fergusson Rd. [=#4004] at Nacimiento River, 9.0 mi W San Antonio Bridge",35.98888889,-121.3586111
224769,4/24/15,3.06,0.48,"DA missing tail, skin sloughing",1.256,0.353339095,1.000000000,1,11/13/93,1990,1993,11,13,"Carmel Valley Rd. [=County Rd. G-16], 1.3 mi SE (by road) junction Laureles Grade Rd.",36.487497,-121.738844
151109,1/14/15,2.26,4.71,,1.08,0.318063335,1.000000000,1,10/13/73,1970,1973,10,13,"on County Rd. G-16, E Laureles Rd.",36.500518,-121.754897
224779,4/24/15,3.8,3.05,DA tip of tail missing,1.072,0.316389751,1.000000000,1,11/12/95,1990,1995,11,12,"Don Dahvee Park, Monterey",36.5902778,-121.8925
167530,5/3/15,3.38,4.5,MC,0.968,0.294025094,1.000000000,1,1/27/79,1970,1979,1,27,"S Fork Little Sur River, 7 mi SSE Hwy. 1 by Coast Rd.",36.309298,-121.791873
155318,3/4/15,3.64,3.5,KC,0.7984,0.254886294,1.000000000,1,1973-02-01/1973-02-28,1970,1973,,,Don Dahvee Park,36.589239,-121.895024
225974,4/10/15,3.07,3.89,DA missing end of tail,0.7672,0.247285703,1.000000000,1,1/18/97,1990,1997,1,18,Kirk Creek at Hwy. 1,35.988256,-121.494331
151157,1/23/15,3.89,5.74,,0.4984,0.175627764,1.000000000,1,11/10/73,1970,1973,11,10,"Big Creek Canyon, Hastings Natural History Reservation",36.3839218,-121.5549797
105460,10/17/14,,,,0.4632,0.165303692,1.000000000,1,10/15/72,1970,1972,10,15,"Don Dahvee Park, Monterey",36.5902778,-121.8925
167539,3/2/15,3.08,4.35,SL,0.4584,0.163876656,1.000000000,1,1/27/79,1970,1979,1,27,"S Fork Little Sur River, 7 mi SSE Hwy. 1 by Coast Rd.",36.309298,-121.791873
155339,4/24/15,30.91,37.93,,0.3304,0.123982236,1.000000000,1,6/10/73,1970,1973,6,10,Don Dahvee Park,36.589239,-121.895024
224785,4/24/15,3.42,2.19,DA,0.316,0.119255889,1.000000000,1,11/12/95,1990,1995,11,12,"Don Dahvee Park, Monterey",36.5902778,-121.8925
155206,5/3/15,3.32,4.68,MC,0.0816,0.034066679,1.000000000,1,3/30/75,1970,1975,3,30,1.4 mi E Laureles Rd. on G-16,36.486392,-121.737949
224742,4/24/15,3.29,0.64,DA missing tail,0.02568,0.011011887,1.000000000,1,11/5/92,1990,1992,11,5,"Carmel Valley Rd. [=County Rd. G-16], 1.3 mi SE (by road) junction Laureles Grade Rd.",36.487497,-121.738844
155328,4/27/15,3.5,3.73,MC,0.02008,0.008634233,1.000000000,1,4/15/73,1970,1973,4,15,Don Dahvee Park,36.589239,-121.895024
167556,2/11/15,3.05,4.13,,0.01216,0.00524917,1.000000000,1,1/27/79,1970,1979,1,27,"S Fork Little Sur River, 7 mi SSE Hwy. 1 by Coast Rd.",36.309298,-121.791873
154993,1/23/15,3.21,4.93,,0.00204,0.000885058,1.000000000,1,1973-02-01/1973-02-28,1970,1973,,,Coast Rd.,36.210036,-121.68091
8216,6/18/14,2.4,3.4,,0,0,0.000000000,0,3/30/21,1920,1921,3,30,Carmel,36.552754,-121.922613
12054,6/18/14,2.99,4.01,,0,0,0,0,2/10/30,1930,1930,2,10,"Crespi Ave., Carmel",36.555308,-121.921127
12055,6/16/14,2.25,2.49,,0,0,0.000000000,0,2/10/30,1930,1930,2,10,"Crespi Ave., Carmel",36.555308,-121.921127
16915,6/25/14,2.91,2.63,,0,0,0.000000000,0,1932-02-01/1932-02-28,1930,1932,,,Monterey,36.59962,-121.897474
16917,6/25/14,2.82,3.56,,0,0,0.000000000,0,1932-02-01/1932-02-28,1930,1932,,,Monterey,36.59962,-121.897474
16918,6/25/14,2.91,3.75,,0,0,0.000000000,0,1932-02-01/1932-02-28,1930,1932,,,Monterey,36.59962,-121.897474
16919,6/18/14,2.75,2.65,,0,0,0.000000000,0,1932-02-01/1932-02-28,1930,1932,,,Monterey,36.59962,-121.897474
16920,6/25/14,2.82,3.17,,0,0,0.000000000,0,1932-02-01/1932-02-28,1930,1932,,,Monterey,36.59962,-121.897474
16003,6/18/14,2.95,3.11,skin sloughing off,0,0,0.000000000,0,2/26/33,1930,1933,2,26,"Palo Colorado Creek, S of Carmel",36.399723,-121.888077
16004,6/16/14,3.22,4.23,,0,0,0.000000000,0,2/26/33,1930,1933,2,26,"Palo Colorado Creek, S of Carmel",36.399723,-121.888077
27709,6/16/14,3.24,4.35,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27711,6/18/14,3.32,4.82,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27712,6/16/14,3.28,4.36,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27713,6/18/14,3.25,4.32,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27714,6/16/14,2.34,4.45,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27715,6/16/14,3.21,3.85,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27716,6/12/14,3.5,4.53,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27717,6/16/14,3.23,1.67,gr,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27718,6/16/14,3.3,4.52,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27719,6/18/14,3.37,4.85,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27720,6/16/14,31.5,4.06,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27721,6/12/14,3.25,2.54,br,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27722,6/16/14,3.45,4.08,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27723,6/18/14,3.08,3.76,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27724,6/18/14,2.79,3.95,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27725,6/16/14,3.23,3.98,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27726,6/18/14,2.95,3.69,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27727,6/18/14,3.2,3.83,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27728,6/18/14,3.24,4.93,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
27729,6/16/14,3.33,4.18,,0,0,0.000000000,0,1/2/39,1930,1939,1,2,1 mi NW Big Sur,36.260421,-121.820628
34664,6/25/14,2.81,3.1,,0,0,0.000000000,0,11/26/39,1930,1939,11,26,Carmel,36.552754,-121.922613
38128,6/25/14,3.27,4.44,,0,0,0.000000000,0,4/25/42,1940,1942,4,25,"Pfeiffer Redwoods State Park, Big Sur River",36.246761,-121.777438
38129,6/18/14,3.07,4.39,,0,0,0.000000000,0,4/25/42,1940,1942,4,25,"Pfeiffer Redwoods State Park, Big Sur River",36.246761,-121.777438
38130,6/12/14,3.2,4.1,,0,0,0.000000000,0,4/25/42,1940,1942,4,25,"Pfeiffer Redwoods State Park, Big Sur River",36.246761,-121.777438
38131,6/12/14,2.62,2.86,,0,0,0.000000000,0,4/25/42,1940,1942,4,25,"Pfeiffer Redwoods State Park, Big Sur River",36.246761,-121.777438
38132,6/12/14,1.34,1.04,,0,0,0.000000000,0,4/25/42,1940,1942,4,25,"Pfeiffer Redwoods State Park, Big Sur River",36.246761,-121.777438
38133,6/12/14,1.51,0.32 (br?),,0,0,0.000000000,0,4/25/42,1940,1942,4,25,"Pfeiffer Redwoods State Park, Big Sur River",36.246761,-121.777438
41882,6/18/14,3.43,4.79,,0,0,0.000000000,0,1/1/46,1940,1946,1,1,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
41883,6/18/14,3.86,5.27,,0,0,0.000000000,0,1/1/46,1940,1946,1,1,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
41884,6/25/14,3.18,2.39,gr,0,0,0.000000000,0,1/1/46,1940,1946,1,1,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
41885,6/16/14,35.9,4.02,,0,0,0.000000000,0,1/1/46,1940,1946,1,1,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
41886,6/16/14,3.18,3.67,,0,0,0.000000000,0,1/1/46,1940,1946,1,1,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
41887,6/25/14,3.41,3.55,br,0,0,0.000000000,0,1/1/46,1940,1946,1,1,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
42273,6/16/14,3,1.7,"br, skin slough",0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42275,6/16/14,2.21,2.34,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42276,6/18/14,2.88,3.39,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42277,6/12/14,2.82,4.61,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42278,6/16/14,2.63,0.6,"br, skin slough",0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42279,6/18/14,3.61,1.59,"br, skin slough",0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42280,6/16/14,3.07,1.53 (br),skin sloughing off,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42281,6/25/14,3.54,5.77,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42282,6/16/14,3.41,4.84,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42283,6/12/14,3.45,5.35,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42284,6/18/14,3.27,4.5,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42285,6/16/14,3.98,3.6,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42286,6/18/14,2.95,4.78,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42287,6/18/14,3.47,5.38,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42288,6/18/14,3.68,--,twisted,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42289,6/12/14,2.75,3.21,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
42290,6/25/14,2.41,2,,0,0,0.000000000,0,4/7/46,1940,1946,4,7,Big Sur State Park,36.252056,-121.784038
46539,6/16/14,3.35,3.85,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey,36.585478,-121.897276
46540,6/18/14,4.04,6.37,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46542,6/16/14,3.15,4.36,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46543,6/16/14,3.56,5.13,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46544,6/12/14,3.33,4.2,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46545,6/18/14,4.16,6.81,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46546,6/25/14,2.68,3.16,twisted,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46547,6/18/14,4.13,7.89,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46548,6/16/14,3.87,5.75,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46549,6/12/14,4.3,5.32,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46550,6/12/14,3.75,5.4,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46551,6/18/14,--,--,twisted,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46553,6/16/14,3.18,4.51,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46554,6/16/14,3.35,4.44,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46555,6/12/14,4.13,6.87,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46556,6/16/14,3.34,2.27 (gr),,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46557,6/16/14,2.26,2.41,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46558,6/16/14,--,--,twisted,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46559,6/16/14,3.39,4.903,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46560,6/16/14,3.5,5.14,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46561,6/12/14,3.47,5.99,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46562,6/12/14,3.44,5.26,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46563,6/16/14,4.88,5.64,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
46589,6/18/14,3.53,5.74,,0,0,0.000000000,0,2/14/48,1940,1948,2,14,1 mi S Monterey on E side Munras Ave.,36.587099,-121.898473
81801,6/18/14,3.64,4.87,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81802,6/18/14,2.61,3.53,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81803,6/18/14,3.48,4.33,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81804,6/25/14,3.05,4.54,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81806,6/16/14,2.7,3.46,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81807,6/12/14,3.09,4.39,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81808,6/18/14,3.47,5.02,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81809,6/25/14,1.85,1.97,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81810,6/16/14,3.36,4.87,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81811,6/25/14,2.65,--,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81812,6/18/14,2.85,4.09,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81813,6/25/14,3.06,4.54,,0,0,0.000000000,0,4/29/67,1960,1967,4,29,17-Mile Drive,36.590492,-121.939917
81817,6/18/14,2.9,2.51,gr,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81818,6/25/14,3.17,4.01,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81819,6/16/14,2.41,3.01,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81820,6/25/14,2.66,1.8,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81821,6/12/14,3.41,4.58,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81822,6/25/14,2.92,3.68,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81823,6/12/14,2.89,3.74,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81824,6/18/14,3.01,3.13,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81825,6/25/14,2.94,3.03,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81826,6/16/14,2.78,3.8,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81827,6/12/14,3.06,4.05,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81828,6/25/14,2.7,2.8,skin sloughing off,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
81829,6/18/14,2.91,3.59,,0,0,0.000000000,0,4/30/67,1960,1967,4,30,"Partington Creek Canyon, Julia Pfeiffer Burns State Park",36.176927,-121.692355
