"","X.1","X","lake.id","year","Bd.Status","Zscore","longitude","latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","HFP2009","croplands2005","Built2009","NavWater2009","Popdensity2010","Roads","Railways","Pasture2009"
"32",32,32,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"33",33,33,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"34",34,34,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"35",35,35,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"36",36,36,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"37",37,37,10206,2006,1,4.955944,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"38",38,38,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"39",39,39,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"40",40,40,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"41",41,41,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"42",42,42,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"43",43,43,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"44",44,44,10206,2006,1,0.231708,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"45",45,45,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"46",46,46,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"47",47,47,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"48",48,48,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"49",49,49,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"50",50,50,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"51",51,51,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"52",52,52,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"53",53,53,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"54",54,54,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"55",55,55,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"56",56,56,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"57",57,57,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"58",58,58,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"59",59,59,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"60",60,60,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"61",61,61,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"62",62,62,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"63",63,63,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"64",64,64,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"65",65,65,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"66",66,66,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"67",67,67,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"68",68,68,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"69",69,69,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"70",70,70,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"71",71,71,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"72",72,72,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"73",73,73,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"74",74,74,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"75",75,75,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"76",76,76,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"77",77,77,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"78",78,78,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"79",79,79,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"80",80,80,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"81",81,81,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"82",82,82,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"83",83,83,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"84",84,84,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"85",85,85,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"86",86,86,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"87",87,87,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"88",88,88,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"89",89,89,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"90",90,90,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"91",91,91,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"92",92,92,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"93",93,93,10222,2005,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"94",94,94,10222,2006,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"95",95,95,10222,2006,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"96",96,96,10222,2006,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"97",97,97,10222,2006,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"98",98,98,10222,2006,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"99",99,99,10222,2006,0,0,-118.535596562999,37.0868761755396,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"100",100,100,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"101",101,101,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"102",102,102,10223,2006,1,2.702768,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"103",103,103,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"104",104,104,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"105",105,105,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"106",106,106,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"107",107,107,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"108",108,108,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"109",109,109,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"110",110,110,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"111",111,111,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"112",112,112,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"113",113,113,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"114",114,114,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"115",115,115,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"116",116,116,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"117",117,117,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"118",118,118,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"119",119,119,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"120",120,120,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"121",121,121,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"122",122,122,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"123",123,123,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"124",124,124,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"125",125,125,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"126",126,126,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"127",127,127,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"128",128,128,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"129",129,129,10223,2006,0,0,-118.532991617466,37.0834827502848,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"130",130,130,10224,2006,0,0,-118.525479276388,37.0843730881544,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"131",131,131,10225,2006,1,65791.28,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"132",132,132,10225,2006,1,13169.28,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"133",133,133,10225,2006,1,48500.88,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"134",134,134,10225,2006,1,22245.2,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"135",135,135,10225,2006,1,24114.8,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"136",136,136,10225,2006,1,35557.28,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"137",137,137,10225,2006,1,11355.52,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"138",138,138,10225,2006,1,30302.24,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"139",139,139,10225,2006,1,42021.76,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"140",140,140,10225,2006,1,1410.632,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"141",141,141,10225,2006,1,151451.2,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"142",142,142,10225,2006,1,84825.6,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"143",143,143,10225,2006,1,11323.6,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"144",144,144,10225,2006,1,17541.76,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"145",145,145,10225,2006,1,71714.4,-118.525156396704,37.0793920423407,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"146",146,146,10227,2006,1,30314.56,-118.529175971754,37.075255136792,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"147",147,147,10227,2006,1,6208.904,-118.529175971754,37.075255136792,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"148",148,148,10227,2006,1,28822.88,-118.529175971754,37.075255136792,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"149",149,149,10227,2006,1,33151.44,-118.529175971754,37.075255136792,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
