Continent.Region,Country,LocationDescription,Latitude,Longitude,Elevation.m.,DateCollected,Month,Day,Year,Decade,MuseumOrField,SampleID,FieldID,Order,Family,Genus,Species,Subspecies,SpeciesName,Lifestage,BdStatus,GEScore,ZEScore,BdMethodology,SwabCollector,PreviouslyReported,Comments,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
NorthAmerica,United States,"California_Kern County_head of Mill Cr., 2000 m, Mt. Breckenridge, Kern Co., Ca.",35.45719999,-118.5839167,2000,1976,NA,NA,1987,1980s,Museum,CAS187951,CAS187951,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _DeLorme Street Atlas USA 4.0_,127,139,44,6363,307,-8,315,61,212,212,54,422,74,2,78,213,13,21,205
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, Piute Mtns, Cold Spring, T28S R33E S26 (SE 1/4 of NE 1/4), 35 28 01.3 N, 118 23 43.8 W, 7920 ft",35.46702778,-118.3955,2415,2004,NA,NA,2001,2000s,Museum,CAS219684,CAS219684,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _Garmin 12 GPS_,110,135,43,6225,288,-19,307,45,194,194,40,454,80,4,78,227,17,27,221
NorthAmerica,United States,"California_Kern County_Breckenridge Mt. Campground, S of Walker Pass",35.4676402,-118.58111,2009.5,2001,NA,NA,1952,1950s,Museum,SM165,MVZ63389,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 160.9344_Datum _not recorded_Estimated elevation using GPS Visualizer,127,139,44,6363,307,-8,315,61,212,212,54,422,74,2,78,213,13,21,205
NorthAmerica,United States,"California_Kern County_CA, Kern Co., S side of Hwy. 178, 6.4 mi. SW of Democrat Hot Spgs.",35.47531665,-118.7225334,449.9,1976,NA,NA,1970,1970s,Museum,CAS199457,CAS199457,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _DeLorme Street Atlas USA 4.0_Estimated elevation using GPS Visualizer,171,151,43,6954,362,17,345,99,262,262,87,304,55,1,78,157,7,7,144
NorthAmerica,United States,California_Kern County_Kern River Canyon at Lucas Creek,35.484143,-118.70962,493.1,1974,NA,NA,1975,1970s,Museum,MVZ128320,MVZ128320,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 80.4672_Datum _not recorded_Estimated elevation using GPS Visualizer,171,151,43,6954,362,17,345,99,262,262,87,304,55,1,78,157,7,7,144
NorthAmerica,United States,California_Kern County_Kern River Canyon at Lucas Creek,35.484143,-118.70962,493.1,1974,NA,NA,1975,1970s,Museum,MVZ128321,MVZ128321,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 80.4672_Datum _not recorded_Estimated elevation using GPS Visualizer,171,151,43,6954,362,17,345,99,262,262,87,304,55,1,78,157,7,7,144
NorthAmerica,United States,California_Kern County_Kern River Canyon,35.4985789,-118.6938205,636.7,1982,NA,NA,1982,1980s,Museum,MVZ178528,MVZ178528,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,1,0.00604,0.4832,qPCR (Vredenburg Lab),Sam McNally,NA,1 of 2 qPCR's 1_Coordinate error (m) 16173.9072_Datum _not recorded_Estimated elevation using GPS Visualizer,171,151,43,6954,362,17,345,99,262,262,87,304,55,1,78,157,7,7,144
NorthAmerica,United States,California_Kern County_15.5 mi S (by road) Weldon,35.5023227,-118.2021703,1198.1,1976,NA,NA,1980,1980s,Museum,MVZ193544,MVZ193544,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 3218.688_Datum _not recorded_Estimated elevation using GPS Visualizer,133,146,43,6714,322,-12,334,64,197,223,55,338,60,3,76,171,16,16,167
NorthAmerica,United States,"California_Kern County_Station 1, along State Hwy. 178 just above turnoff to Democrat Hot Spring, 25. 3 mi NE Baker Street, Bakersfield",35.5318283,-118.64678,660.1,1974,NA,NA,1976,1970s,Museum,MVZ137809,MVZ137809,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 1691.420544_Datum _not recorded_Estimated elevation using GPS Visualizer,130,142,44,6409,313,-8,321,63,215,215,56,460,82,2,79,233,13,22,226
NorthAmerica,United States,"California_Kern County_at Mill Creek, 7.5 mi SW of Miracle Hot Springs on Old Hwy. 178",35.5410814,-118.61304,762,1984,NA,NA,1984,1980s,Museum,MVZ227478,MVZ227478,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,1,0.0261,2.09,qPCR (Vredenburg Lab),Sam McNally,NA,1 of 2 qPCR's 1_Coordinate error (m) 3017.52_Datum _not recorded_,130,142,44,6409,313,-8,321,63,215,215,56,460,82,2,79,233,13,22,226
NorthAmerica,United States,"California_Kern County_at Mill Creek, 7.5 mi SW of Miracle Hot Springs on Old Hwy. 178",35.5410814,-118.61304,762,1983,NA,NA,1984,1980s,Museum,MVZ227480,MVZ227480,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 3017.52_Datum _not recorded_,130,142,44,6409,313,-8,321,63,215,215,56,460,82,2,79,233,13,22,226
NorthAmerica,United States,"California_Kern County_1.3 mi SW Cane Well, 7 mi SE Weldon",35.5809771,-118.2313113,1037,1999,NA,NA,1963,1960s,Museum,MVZ76022,MVZ76022,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 523.0368_Datum _not recorded_,133,146,43,6714,322,-12,334,64,197,223,55,338,60,3,76,171,16,16,167
NorthAmerica,United States,"California_Kern County_Sage Canyon, 0.45 mi S Robber's Roost [Hwy. 14] 8.7 mi W of Hwy. 14",35.5864947,-118.0642462,1220,1979,NA,NA,1978,1970s,Museum,MVZ172775,MVZ172775,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 3218.688_Datum _not recorded_,118,140,43,6663,304,-21,325,49,181,207,41,356,62,4,74,177,19,20,174
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, Scodie Mtns, Pacific Crest National Scenic Trail, 1.0 km W (by trail) of McIver's Cabin, unnamed creek, T26S R36E Sec35 (SW 1/4 of SE 1/4), 35 37 12.8 N, 118 04 55.1 W, 6640 ft",35.62022222,-118.0819722,2024,2000,NA,NA,2000,2000s,Museum,CAS213192,CAS213192,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,1,NA,116.8,qPCR (Vredenburg Lab),Sam McNally,NA,took average of 2 1 qPCR's_ZEs 12.56_20.24_Coordinate error (m) _Datum _Garmin 12 GPS_,118,140,43,6663,304,-21,325,49,181,207,41,356,62,4,74,177,19,20,174
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, Scodie Mtns, Pacific Crest National Scenic Trail, 1.0 km W (by trail) of McIver's Cabin, unnamed creek, T26S R36E Sec35 (SW 1/4 of SE 1/4), 35 37 12.8 N, 118 04 55.1 W, 6640 ft",35.62022222,-118.0819722,2024,2000,NA,NA,2000,2000s,Museum,CAS213194,CAS213194,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,1,0.00453,0.36,qPCR (Vredenburg Lab),Sam McNally,NA,1 of 2 qPCR's 1_Coordinate error (m) _Datum _Garmin 12 GPS_,118,140,43,6663,304,-21,325,49,181,207,41,356,62,4,74,177,19,20,174
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, Scodie Mtns, Pacific Crest National Scenic Trail, 1.0 km W (by trail) of McIver's Cabin, unnamed creek, T26S R36E Sec35 (SW 1/4 of SE 1/4), 35 37 12.8 N, 118 04 55.1 W, 6640 ft",35.62022222,-118.0819722,2024,2004,NA,NA,2000,2000s,Museum,CAS213195,CAS213195,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _Garmin 12 GPS_,118,140,43,6663,304,-21,325,49,181,207,41,356,62,4,74,177,19,20,174
NorthAmerica,United States,"California_Kern County_Sequoia Nat'l. Forrest; Evans Flat; 6 mi S., 2 mi W. Alta Sierra, Greenhor Mts.; edge of wet meadow",35.6455609,-118.589976,1846.4,1962,NA,NA,1970,1970s,Museum,LACM105562,LACM105562,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 817.546752_Datum _MaNIS/HerpNET/ORNIS Georeferencing Guidelines_center of Evans FlatEstimated elevation using GPS Visualizer,130,142,44,6409,313,-8,321,63,215,215,56,460,82,2,79,233,13,22,226
NorthAmerica,United States,"California_Kern County_Sequoia Nat'l. Forrest; Evans Flat; 6 mi S., 2 mi W. Alta Sierra, Greenhor Mts.; edge of wet meadow",35.6455609,-118.589976,1846.4,1962,NA,NA,1970,1970s,Museum,LACM105563,LACM105563,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 817.546752_Datum _MaNIS/HerpNET/ORNIS Georeferencing Guidelines_center of Evans FlatEstimated elevation using GPS Visualizer,130,142,44,6409,313,-8,321,63,215,215,56,460,82,2,79,233,13,22,226
NorthAmerica,United States,"California_Kern County_Sequoia Nat'l. Forrest; Evans Flat; 6 mi S., 2 mi W. Alta Sierra, Greenhor Mts.; on road at sunset",35.6455609,-118.589976,1846.4,1962,NA,NA,1970,1970s,Museum,LACM105564,LACM105564,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 817.546752_Datum _MaNIS/HerpNET/ORNIS Georeferencing Guidelines_center of Evans FlatEstimated elevation using GPS Visualizer,130,142,44,6409,313,-8,321,63,215,215,56,460,82,2,79,233,13,22,226
NorthAmerica,United States,"California_Kern County_Sequoia Nat'l Forest, Evans Flat, 6 mi. S, 2 mi. W Alta Sierra, Greenhorn Mtns.",35.6455609,-118.589976,1846.4,1962,NA,NA,1970,1970s,Museum,LACM105883,LACM105883,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 817.546752_Datum _MaNIS/HerpNET/ORNIS Georeferencing Guidelines_center of Evans FlatEstimated elevation using GPS Visualizer,130,142,44,6409,313,-8,321,63,215,215,56,460,82,2,79,233,13,22,226
NorthAmerica,United States,"California_Kern County_Freeman Canyon, 0.8 miles E. Walker Pass on California 178, at Freeman Well (in cattle trough)",35.6577344,-118.0136225,1525.7,1964,NA,NA,1971,1970s,Museum,LACM87085,LACM87085,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 724.2048_Datum _MaNIS/HerpNET/ORNIS Georeferencing Guidelines_0.8 mi E Walker Pass by roadEstimated elevation using GPS Visualizer,118,140,43,6663,304,-21,325,49,181,207,41,356,62,4,74,177,19,20,174
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, E side Isabella Reservoir, Hanning Flat, T26S R34E S18 (SW 1/4 of NE 1/4), 35 40 04.5 N, 118 21 55.5 W, 2600 ft",35.66791667,-118.3654167,793,2004,NA,NA,2001,2000s,Museum,CAS219621,CAS219621,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _Garmin 12 GPS_,133,147,44,6594,320,-12,332,64,221,221,56,420,77,3,78,215,15,15,211
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, South Fork Wildlife Area, T26S R34E S17 (NE 1/4 of NE 1/4), 35 40 18.25 N, 118 20 47.5 W, 2600 ft",35.67173611,-118.3465278,793,2001,NA,NA,2001,2000s,Museum,CAS219731,CAS219731,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,1,NA,5.924,qPCR (Vredenburg Lab),Sam McNally,NA,"took average of 2 1 qPCR's_ZEs 1.136_1.232_Coordinate error (m) _Datum _Terrain Navigator, Weldon Quadrangle, 1994_",133,147,44,6594,320,-12,332,64,221,221,56,420,77,3,78,215,15,15,211
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, South Fork Wildlife Area, T26S R34E S17 (NE 1/4 of NE 1/4), 35 40 18.25 N, 118 20 47.5 W, 2600 ft",35.67173611,-118.3465278,793,2004,NA,NA,2001,2000s,Museum,CAS219729,CAS219729,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _Terrain Navigator, Weldon Quadrangle, 1994_",133,147,44,6594,320,-12,332,64,221,221,56,420,77,3,78,215,15,15,211
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, South Fork Wildlife Area, T26S R34E S17 (NE 1/4 of NE 1/4), 35 40 18.25 N, 118 20 47.5 W, 2600 ft",35.67173611,-118.3465278,793,1961,NA,NA,2001,2000s,Museum,CAS219732,CAS219732,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _Terrain Navigator, Weldon Quadrangle, 1994_",133,147,44,6594,320,-12,332,64,221,221,56,420,77,3,78,215,15,15,211
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, South Fork Wildlife Area, T26S R34E S16 (NW 1/4 of NW 1/4), 35 40 20.0 N, 118 20 31.4 W, 2600 ft",35.67222222,-118.3420556,793,1960,NA,NA,2001,2000s,Museum,SM466,CAS219716,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum __,133,147,44,6594,320,-12,332,64,221,221,56,420,77,3,78,215,15,15,211
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, South Fork Wildlife Area, T26S R34E S16 (NW 1/4 of NW 1/4), 35 40 20.0 N, 118 20 31.4 W, 2600 ft",35.67222222,-118.3420556,793,1960,NA,NA,2001,2000s,Museum,SM467,CAS219715,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum __,133,147,44,6594,320,-12,332,64,221,221,56,420,77,3,78,215,15,15,211
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, South Fork Wildlife Area, T26S R34E S16 (NW 1/4 of NW 1/4), 35 40 20.0 N, 118 20 31.4 W, 2600 ft",35.67222222,-118.3420556,793,1960,NA,NA,2001,2000s,Museum,SM468,CAS219718,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum __,133,147,44,6594,320,-12,332,64,221,221,56,420,77,3,78,215,15,15,211
NorthAmerica,United States,"California_Kern County_California: Kern Co.: Sequoia National Forest, South Fork Wildlife Area, T26S R34E S16 (NW 1/4 of NW 1/4), 35 40 20.0 N, 118 20 31.4 W, 2600 ft",35.67222222,-118.3420556,793,1960,NA,NA,2001,2000s,Museum,SM469,CAS219717,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum __,133,147,44,6594,320,-12,332,64,221,221,56,420,77,3,78,215,15,15,211
NorthAmerica,United States,California_Kern County_Lake Isabella,35.6770334,-118.4349724,776.3,1999,NA,NA,1965,1960s,Museum,LACM87084,LACM87084,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 6875.117568_Datum _MaNIS/HerpNET/ORNIS Georeferencing Guidelines_center of Lake IsabellaEstimated elevation using GPS Visualizer,133,147,44,6594,320,-12,332,64,221,221,56,420,77,3,78,215,15,15,211
NorthAmerica,United States,California_Kern County_Cedar Crk.,35.6978447,-118.6792498,937.7,1959,NA,NA,1989,1980s,Museum,LACM152563,LACM152563,Anura,Ranidae,Rana,catesbeiana,NA,Rana catesbeiana,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 12791.066112_Datum _MaNIS/HerpNET/ORNIS Georeferencing Guidelines_center of Cedar CreekEstimated elevation using GPS Visualizer,151,149,44,6707,339,2,337,81,239,239,72,458,83,1,80,237,10,10,225
NorthAmerica,United States,"California_Kern County_Cedar Creek, 2 miles upstream from White Mill Road, Kern Co., California",35.7050333,-118.65705,1008.5,1991,NA,NA,1991,1990s,Museum,CAS180344,CAS180344,Anura,Ranidae,Rana,catesbeiana,NA,Rana catesbeiana,NA,1,0.00188,0.1504,qPCR (Vredenburg Lab),Sam McNally,NA,1 of 2 qPCR's 1_Coordinate error (m) _Datum _DeLorme Street Atlas USA 4.0_Estimated elevation using GPS Visualizer,105,134,44,6049,282,-21,303,42,185,187,37,592,107,3,79,300,17,27,294
NorthAmerica,United States,"California_Kern County_Cedar Creek, 2 miles upstream from White Mill Road, Kern Co., California",35.7050333,-118.65705,1008.5,1964,NA,NA,1991,1990s,Museum,CAS180343,CAS180343,Anura,Ranidae,Rana,catesbeiana,NA,Rana catesbeiana,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _DeLorme Street Atlas USA 4.0_Estimated elevation using GPS Visualizer,105,134,44,6049,282,-21,303,42,185,187,37,592,107,3,79,300,17,27,294
NorthAmerica,United States,"California_Kern County_Cedar Creek, 3 miles upstream from White Mill Road, Kern Co., California",35.70741666,-118.6448167,1071.3,1958,NA,NA,1991,1990s,Museum,CAS180330,CAS180330,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _DeLorme Street Atlas USA 4.0_Estimated elevation using GPS Visualizer,105,134,44,6049,282,-21,303,42,185,187,37,592,107,3,79,300,17,27,294
NorthAmerica,United States,"California_Kern County_Cedar Creek, 3 miles upstream from White Mill Road, Kern Co., California",35.70741666,-118.6448167,1071.3,1967,NA,NA,1991,1990s,Museum,CAS180345,CAS180345,Anura,Ranidae,Rana,catesbeiana,NA,Rana catesbeiana,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _DeLorme Street Atlas USA 4.0_Estimated elevation using GPS Visualizer,105,134,44,6049,282,-21,303,42,185,187,37,592,107,3,79,300,17,27,294
NorthAmerica,United States,"California_Kern County_Cedar Creek, 4 miles upstream from White Mill Road, Kern Co., California",35.71038335,-118.6341167,1106,1991,NA,NA,1991,1990s,Museum,CAS180347,CAS180347,Anura,Ranidae,Rana,catesbeiana,NA,Rana catesbeiana,NA,1,0.000243,0.01944,qPCR (Vredenburg Lab),Sam McNally,NA,1 of 2 qPCR's 1_Coordinate error (m) _Datum _DeLorme Street Atlas USA 4.0_Estimated elevation using GPS Visualizer,105,134,44,6049,282,-21,303,42,185,187,37,592,107,3,79,300,17,27,294
NorthAmerica,United States,"California_Kern County_Cedar Creek, 4 miles upstream from White Mill Road, Kern Co., California",35.71038335,-118.6341167,1106,1991,NA,NA,1991,1990s,Museum,CAS180346,CAS180346,Anura,Ranidae,Rana,catesbeiana,NA,Rana catesbeiana,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _DeLorme Street Atlas USA 4.0_Estimated elevation using GPS Visualizer,105,134,44,6049,282,-21,303,42,185,187,37,592,107,3,79,300,17,27,294
NorthAmerica,United States,"California_Kern County_Jct. of SR155 and Pascoe Rd., 1.0 mi W. of Glenville via SR155, Linns Valley, Greenhorn Mtns., Kern Co., Calif., 35 43.43 26.09 N, 118 43.33 19.59 W, T25S R30E Sec 26 (NW 1/4 of SW 1/4), ca 3000 ft",35.72391389,-118.7221083,915,1962,NA,NA,2002,2000s,Museum,CAS224772,CAS224772,Anura,Bufonidae,Bufo,boreas,NA,Bufo boreas,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) _Datum _Garmin 2+ GPS_,151,149,44,6707,339,2,337,81,239,239,72,458,83,1,80,237,10,10,225
NorthAmerica,United States,"California_Kern County_Canebrake Creek, 9 mi ENE of Onyx",35.7474153,-118.1143921,993.9,1954,NA,NA,1954,1950s,Museum,MVZ61601A,MVZ61601,Anura,Ranidae,Rana,boylii,NA,Rana boylii,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 4023.36_Datum _not recorded_Estimated elevation using GPS Visualizer,120,142,42,6739,308,-23,331,49,184,210,41,351,61,4,72,174,20,21,171
NorthAmerica,United States,"California_Kern County_Canebrake Creek, 9 mi ENE of Onyx",35.7474153,-118.1143921,993.9,1954,NA,NA,1954,1950s,Museum,MVZ61602A,MVZ61602,Anura,Ranidae,Rana,boylii,NA,Rana boylii,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 4023.36_Datum _not recorded_Estimated elevation using GPS Visualizer,120,142,42,6739,308,-23,331,49,184,210,41,351,61,4,72,174,20,21,171
